label,value
Aboriginal Peoples,Aboriginal Peoples
Artists,Artists
Caregivers,Caregivers
Children,Children
Consumers,Consumers
Educators,Educators
Employees,Employees
Employers,Employers
Entrepreneur/Self-employed,Entrepreneur/Self-employed
Farmers,Farmers
Funding Applicants,Funding Applicants
General Public,General Public
Government,Government
Health Care Professionals,Health Care Professionals
Immigrants,Immigrants
Job Seekers,Job Seekers
Legal and Law Enforcement Professionals,Legal and Law Enforcement Pofessionals
Lower-income Earners,Lower-income Earners
Media,Media
Nonprofit/Voluntary Organizations,Nonprofit/Voluntary Organizations
Parents,Parents
Persons with Disabilities,Persons with Disabilities
Researchers,Researchers
Rural Residents,Rural Residents
Scientists,Scientists
Seniors,Seniors
Students,Students
Travellers,Travellers
Visitors to Alberta,Visitors to Alberta
Youth,Youth
