display_name,name,title,type
Advanced Education,advancededucation,Advanced Education,organization
Agriculture and Forestry,agricultureandforestry,Agriculture and Forestry,organization
Agriculture and Rural Development,agricultureandruraldevelopment,Agriculture and Rural Development,organization
Corporate Human Resources,corporatehumanresources,Corporate Human Resources,organization
Culture and Tourism,cultureandtourism,Culture and Tourism,organization
Economic Development and Trade,economicdevelopmentandtrade,Economic Developement and Trade,organization
Education,education,Education,organization
Energy,energy,Energy,organization
Environment and Parks,environmentandparks,Environment and Parks,organization
Environment and Sustainable Resource Development,environmentandsustainableresourcedevelopment,Environment and Sustainable Resource Development,organization
Executive Council,executivecouncil,Executive Council,organization
Government of Alberta,governmentofalberta,Government of Alberta,organization
Health,health,Health,organization
Human Services,humanservices,Human Services,organization
Indigenous Relations,indigenousrelations,Indigenous Relations,organization
Infrastructure,infrastructure,Infrastructure,organization
International and Intergovernmental Relations,internationalandintergovernmentalrelations,International and Intergovernmental Relations,organization
Justice and Solicitor General,justiceandsolicitorgeneral,Justice and Solicitor General,organization
Labour,labour,Labour,organization
Municipal Affairs,municipalaffairs,Municipal Affairs,organization
Seniors and Housing,seniorsandhousing,Seniors and Housing,organization
Service Alberta,servicealberta,Service Alberta,organization
Transportation,transportation,Transportation,organization
Treasury Board and Finance,treasuryboardandfinance,Treasury Board and Finance,organization
Legislative Assembly Office,legislativeassemblyoffice,Legislative Assembly Office,organization
Office of the Auditor General,officeoftheauditorgeneral,Office of the Auditor General,organization
Office of the Chief Electoral Officer,officeofthechiefelectoralofficer,Office of the Chief Electoral Officer,organization
Office of the Ethics Commissioner,officeoftheethicscommissioner,Office of the Ethics Commissioner,organization
Office of the Information and Privacy Commissioner,officeoftheinformationandprivacycommissioner,Office of the Information and Privacy Commissioner,organization
Office of the Lieutenant Governor,officeofthelieutenantgovernor,Office of the Lieutenant Governor,organization
Office of the Ombudsman,officeoftheombudsman,Office of the Ombudsman,organization
Public Affairs Bureau,publicaffairsbureau,Public Affairs Bureau,organization
Aboriginal Affairs and Northern Development (2000-2006),aboriginalaffairsandnortherndevelopment2000-2006,Aboriginal Affairs and Northern Development (2000-2006),organization
"Aboriginal Relations(2008-2011,2013-2016)",aboriginalrelations2008-2011--2013-2016,"Aboriginal Relations (2008-2011, 2013-2016)",organization
Advanced Education and Career Development (1992-1999),advancededucationandcareerdevelopment1992-1999,Advanced Education and Career Development (1992-1999),organization
Advanced Education and Manpower (1975-1983),advancededucationandmanpower1975-1983,Advanced Education and Manpower (1975-1983),organization
