value,label
Assessment,Assessment
Calendar,Calendar
Contractual Material and Agreements,Contractual Material and Agreements
Correspondence,Correspondence
Dataset,Dataset
Decision,Decision
Educational Material,Educational Material
Event,Event
Fact Sheet,Fact Sheet
Financial Report,Financial Report
FOIP Response,FOIP Response
Form,Form
Geospatial Material,Geospatial Material
Guide,Guide
Interactive Resource,Interactive Resource
Legislation and Regulations,Legislation and Regulations
Licences and Permits,Licences and Permits
Literary Material,Literary Material
Media Release,Media Release
Meeting Material,Meeting Material
Moving Image,Moving Image
Multimedia,Multimedia
Notice,Notice
Organizational Description,Organizational Description
Policy,Policy
Presentation,Presentation
Reference Material,Reference Material
Report,Report
Serial,Serial
Sound,Sound
Standard,Standard
Statistics,Statistics
Still Image,Still Image
Survey,Survey
