label,value
Aboriginal Relations,AboriginalRelations
Agriculture and Rural Development,AgricultureandRuralDevelopment
Culture and Tourism,CultureandTourism
Education,Education
Energy,Energy
Environment and Sustainable Resource Development,EnvironmentandSustainableResourceDevelopment
Executive Council,ExecutiveCouncil
Health,Health
Human Services,HumanServices
Infrastructure,Infrastructure
Innovation and Advanced Education,InnovationandAdvancedEducation
International and Intergovernmental Relations,InternationalandIntergovernmentalRelations
"Jobs,Skills,TrainingandLabour",JobsSkillsTrainingandLabour
Justice and Solicitor General,JusticeandSolicitorGeneral
Municipal Affairs,MunicipalAffairs
Seniors,Seniors
Service Alberta,ServiceAlberta
Transportation,Transportation
Treasury Board and Finance,TreasuryBoardandFinance
Legislative Assembly Office,LegislativeAssemblyOffice
Office of the Auditor General,OfficeoftheAuditorGeneral
Office of the Chief Electoral Officer,OfficeoftheChiefElectoralOfficer
Office of the Ethics Commissioner,OfficeoftheEthicsCommissioner
Office of the Information and Privacy Commissioner,OfficeoftheInformationandPrivacyCommissioner
Office of the Lieutenant Governor,OfficeoftheLieutenantGovernor
Office of the Ombudsman,OfficeoftheOmbudsman
'=====================================','====================================='
Aboriginal Affairs and Northern Development (2000-2006),AboriginalAffairsandNorthernDevelopment(2000-2006)
Advanced Education and Career Development (1992-1999),AdvancedEducationandCareerDevelopment(1992-1999)
Advanced Education and Manpower (1975-1983),AdvancedEducationandManpower(1975-1983)
Advanced Education and Technology (2006-2013),AdvancedEducationandTechnology(2006-2013)
"Advanced Education (1971-1975,1983-1992,2004-2006)","AdvancedEducation(1971-1975,1983-1992,2004-2006)"
Agriculture and Food (2006-2008),AgricultureandFood(2006-2008)
Agriculture (1905-1992),Agriculture(1905-1992)
"Agriculture,Food,andRuralDevelopment(1992-2006)","Agriculture,Food,andRuralDevelopment(1992-2006)"
Attorney General (1905-1992),AttorneyGeneral(1905-1992)
Business Development and Tourism (1975-1979),BusinessDevelopmentandTourism(1975-1979)
Career Development and Employment (1986-1992),CareerDevelopmentandEmployment(1986-1992)
Children and Youth Services (2008-2011),ChildrenandYouthServices(2008-2011)
Children’s Services (1999-2008),Children’sServices(1999-2008)
Community and Occupational Health (1986-1989),CommunityandOccupationalHealth(1986-1989)
Community Development (1992-2006),CommunityDevelopment(1992-2006)
Consumer Affairs (1973-1975),ConsumerAffairs(1973-1975)
Consumer and Corporate Affairs (1975-1992),ConsumerandCorporateAffairs(1975-1992)
Cultural Affairs (1975-1980),CulturalAffairs(1975-1980)
Culture and Community Services (2011-2013),CultureandCommunityServices(2011-2013)
Culture and Community Spirit (2008-2011),CultureandCommunitySpirit(2008-2011)
Culture and Multiculturalism (1987-1992),CultureandMulticulturalism(1987-1992)
"Culture (1980-1987,2013-2014)","Culture(1980-1987,2013-2014)"
"Culture,Youth,andRecreation(1971-1975)","Culture,Youth,andRecreation(1971-1975)"
Economic Development and Tourism (1992-1997),EconomicDevelopmentandTourism(1992-1997)
Economic Development and Trade (1986-1992),EconomicDevelopmentandTrade(1986-1992)
"Economic Development (1979-1986,1997-2006)","EconomicDevelopment(1979-1986,1997-2006)"
Employment and Immigration (2008-2011),EmploymentandImmigration(2008-2011)
"Employment,ImmigrationandIndustry(2006-2008)","Employment,ImmigrationandIndustry(2006-2008)"
Energy and Natural Resources (1975-1986),EnergyandNaturalResources(1975-1986)
Environment and Water (2011-2013),EnvironmentandWater(2011-2013)
"Environment (1971-1992,1999-2011)","Environment(1971-1992,1999-2011)"
Environmental Protection (1992-1999),EnvironmentalProtection(1992-1999)
Family and social Services (1989-1999),FamilyandsocialServices(1989-1999)
Federal and Intergovernmental Affairs (1971-1997),FederalandIntergovernmentalAffairs(1971-1997)
Finance and Enterprise (2008-2011),FinanceandEnterprise(2008-2011)
"Finance (2001-2008,2011-2014)","Finance(2001-2008,2011-2014)"
"Forestry,Lands,andWildlife(1986-1993)","Forestry,Lands,andWildlife(1986-1993)"
Gaming (1999-2006),Gaming(1999-2006)
"Government Services (1975-1983,1999-2006)","GovernmentServices(1975-1983,1999-2006)"
Health and Social Development (1971-1975),HealthandSocialDevelopment(1971-1975)
Health and Wellness (1999-2013),HealthandWellness(1999-2013)
Highways and Transport (1969-1975),HighwaysandTransport(1969-1975)
Highways (1951-1969),Highways(1951-1969)
Hospitals and Medical Care (1975-1988),HospitalsandMedicalCare(1975-1988)
Housing and Public Works (1975-1983),HousingandPublicWorks(1975-1983)
Housing and Urban Affairs (2008-2011),HousingandUrbanAffairs(2008-2011)
Housing (1983-1986),Housing(1983-1986)
Human Resources and Employment (1999-2006),HumanResourcesandEmployment(1999-2006)
Industries and Labour (1948-1959),IndustriesandLabour(1948-1959)
Industry and Commerce (1972-1975),IndustryandCommerce(1972-1975)
Industry and Development (1959-1968),IndustryandDevelopment(1959-1968)
Industry and Tourism (1968-1972),IndustryandTourism(1968-1972)
Infrastructure and Transportation (2004-2008),InfrastructureandTransportation(2004-2008)
Innovation and Science (1999-2006),InnovationandScience(1999-2006)
Intergovernmental and Aboriginal Affairs (1997-1999),IntergovernmentalandAboriginalAffairs(1997-1999)
"International,IntergovernmentalandAboriginalRelations(2006-2008,2011-2013)","International,IntergovernmentalandAboriginalRelations(2006-2008,2011-2013)"
Justice and Attorney General (1993-2011),JusticeandAttorneyGeneral(1993-2011)
"Justice (1992-1993,2011-2013)","Justice(1992-1993,2011-2013)"
"Labour (1959-1972,1975-1999)","Labour(1959-1972,1975-1999)"
Lands and Forests (1949-1975),LandsandForests(1949-1975)
Lands and Mines (1930-1949),LandsandMines(1930-1949)
Learning (1999-2004),Learning(1999-2004)
Manpower and Labour (1972-1975),ManpowerandLabour(1972-1975)
Manpower (1982-1986),Manpower(1982-1986)
Mines and Minerals (1949-1975),MinesandMinerals(1949-1975)
Municipal Affairs and Housing (2006-2008),MunicipalAffairsandHousing(2006-2008)
Provincial Secretary (1905-1972),ProvincialSecretary(1905-1972)
Public Health (1919-1967),PublicHealth(1919-1967)
Public Welfare (1944-1969),PublicWelfare(1944-1969)
Public Works (1905-1975),PublicWorks(1905-1975)
"Public Works,Supply,andServices(1983-1999)","PublicWorks,Supply,andServices(1983-1999)"
Recreation and Parks (1979-1992),RecreationandParks(1979-1992)
"Recreation,Parks,andWildlife(1975-1979)","Recreation,Parks,andWildlife(1975-1979)"
Resource Development (1999-2001),ResourceDevelopment(1999-2001)
Restructuring and Government Efficiency (2004-2006),RestructuringandGovernmentEfficiency(2004-2006)
Revenue (2001-2004),Revenue(2001-2004)
Seniors and Community Supports (2004-2011),SeniorsandCommunitySupports(2004-2011)
Social Development (1969-1971),SocialDevelopment(1969-1971)
Social Services and Community Health (1975-1986),SocialServicesandCommunityHealth(1975-1986)
Social Services (1986-1989),SocialServices(1986-1989)
Solicitor General and  Public Safety (2006-2008),SolicitorGeneralandPublicSafety(2006-2008)
"Solicitor General and Public Security (1973-1992,2001-2006,2008-2013)","SolicitorGeneralandPublicSecurity(1973-1992,2001-2006,2008-2013)"
"Sustainable Resource Development (2001-2006,2006-2013)","SustainableResourceDevelopment(2001-2006,2006-2013)"
Telephones and Utilities (1973-1975),TelephonesandUtilities(1973-1975)
Tourism and Small Business (1979-1986),TourismandSmallBusiness(1979-1986)
Tourism (1986-1992),Tourism(1986-1992)
"Tourism,Parks,andRecreation(1992,2008-2014)","Tourism,Parks,andRecreation(1992,2008-2014)"
